noise,Ld,cellPx,gapPx,pitch_um,cells,states_per_mm2,G0,s,Ia,dark,seed,t,ber,on_min,on_mean,off_max,false_activation,energy,lyapunov_at_end,fixed_point_residual
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,1,1000,0.3333333333333333,4.515358845121306,4.729141267124199,5.018001130977365,0.5,275.25421216538797,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,1,3000,0.6666666666666666,4.589666221627959,4.809851220483065,5.338704747085556,1,407.5437017961148,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,2,1,0,2.290747889088252,2.3510146259040905,0.0036591032486252718,0,93.37044609064004,-0.0004380300181817792,1.9999989464842258
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,2,3,0,3.0297621559681804,3.1784290807806213,0.009949603136493654,0,123.05566227630601,-0.0004380300181817792,1.9999989464842258
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,2,10,0,4.1151753022268736,4.372700047414391,0.015634611664788058,0,168.9200688064753,-0.0004380300181817792,1.9999989464842258
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,2,30,0,4.261728843801183,4.534994471803763,0.017751998853780024,0,175.15829472676467,-0.0004380300181817792,1.9999989464842258
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,2,100,0,4.274121997531039,4.546688314043749,0.01836603622060609,0,175.42539640108552,-0.0004380300181817792,1.9999989464842258
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,2,300,0,4.278978692748347,4.5481459793133165,0.019026693019843093,0,175.19581808776775,-0.0004380300181817792,1.9999989464842258
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,2,1000,0,4.267498538201986,4.532458324927402,0.0200296067013358,0,174.4552191528423,-0.0004380300181817792,1.9999989464842258
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,2,3000,0,4.262872820758339,4.528822363944412,0.02058096021530163,0,174.30507378728558,-0.0004380300181817792,1.9999989464842258
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,3,1,0,2.3121664701510443,2.3862329611501454,0.004610945720621564,0,164.8779819940485,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,3,3,0,3.066126910221371,3.2578499889422923,0.009816300416095361,0,219.83245354125893,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,3,10,0,4.1793249620468425,4.508991823532539,0.013806973623426883,0,303.56195799566166,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,3,30,0,4.3364296126972155,4.679863681583413,0.015681816286904203,0,314.86467512917716,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,3,100,0,4.367482584641158,4.69878016237673,0.014356100441476052,0,315.3927594928061,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,3,300,0,4.373994781037291,4.70188267136963,0.02101558742848763,0,314.59374356973547,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,3,1000,0.2222222222222222,4.442546197323033,4.736983304254515,5.3405908684108265,1,407.5969585971395,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,3,3000,0.2222222222222222,4.442028654197696,4.736204782034467,5.3386401940621875,1,407.5421779584575,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,1,1,0,2.7849808071327202,2.8455643904319525,0.00675393649498897,0,84.42204464206678,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,1,3,0,4.442518216657026,4.613302970929888,0.0248673677377116,0,133.86984898425612,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,1,10,0,6.537223717313164,6.8381885639029,0.15189741731443143,0,200.093550116741,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,1,30,0.3333333333333333,6.773447919199952,7.108074938801877,7.911456764553045,0.5,390.77023455819915,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,1,100,0.6666666666666666,6.868132037048528,7.135172388711869,8.296649437054159,1,615.625891802547,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,1,300,0.6666666666666666,6.9350412803272885,7.209443794422232,8.104983215675084,1,616.0910595099435,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,1,1000,0.6666666666666666,6.91841707796914,7.21422990948296,7.971245695738211,1,613.0592990172122,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,1,3000,0.6666666666666666,6.912737991672195,7.211521360648272,7.9591541567674575,1,612.7140248859133,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,2,1,0,2.7461975765525373,2.8183611617160746,0.0043813105632801936,0,111.94903228149208,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,2,3,0,4.347685937568592,4.542370163999261,0.015455820390856032,0,175.9480909355964,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,2,10,0,6.316896996038402,6.667316144330217,0.042829970091284225,0,258.0439034891964,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,2,30,0.3333333333333333,6.581688155922664,6.943180387574263,6.65204607866158,0.6,432.4007909671194,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,2,100,0.5555555555555556,6.664409909125546,7.016371185817329,8.225193339185031,1,617.1363857631834,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,2,300,0.5555555555555556,6.709453821023883,7.04073851482776,8.062964245525635,1,615.6821250440755,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,2,1000,0.5555555555555556,6.719374766375335,7.040529493572328,7.9659862238488035,1,612.906454387377,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,2,3000,0.5555555555555556,6.718918134045335,7.039915296799821,7.9591488438885465,1,612.7138770521725,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,3,1,0,2.7719343938802066,2.8606386308154534,0.00552248547085202,0,197.68718210647543,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,3,3,0,4.394965001936811,4.646055898380372,0.015281570765918594,0,313.6196389361031,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,3,10,0,6.392481227161037,6.837067738379021,0.043155944992989706,0,460.6190349211317,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,3,30,0.1111111111111111,6.635355316542741,7.0502609702447945,7.892186221667645,0.5,550.1134708211711,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,3,100,0.2222222222222222,6.69106099319741,7.099644409113848,8.176128926739528,1,617.3024846862625,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,3,300,0.2222222222222222,6.7173289489498496,7.1178955972709925,8.041313993172016,1,615.1366481859475,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,3,1000,0.2222222222222222,6.719390594212449,7.114322985722966,7.964845748789439,1,612.8741019754046,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,5,-0.8,0.2,0,3,3000,0.2222222222222222,6.718918044449312,7.113459971898443,7.959147814163923,1,612.7138483998812,NaN,NaN
